,run_id,flow_id,accuracy,f_measure,area_under_roc_curve,average_cost,kappa,kb_relative_information_score,mean_absolute_error,mean_prior_absolute_error,prior_entropy,relative_absolute_error,root_mean_prior_squared_error,root_mean_squared_error,root_relative_squared_error,data_preprocessing,classifier,feature_preprocessing
5205,10255097,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5206,10255108,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5207,10255116,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5208,10255122,15083,0.772,0.759148185483871,0.6866666666666666,0.0,0.40748440748440756,0.41778503699233915,0.228,0.42015968063872167,0.8812914463598482,0.5426508313539204,0.45825774337365466,0.4774934554525329,1.0419757491434112,1,3,1
5209,10255132,15083,0.773,0.7603920134341682,0.6883333333333334,0.0,0.4106957424714434,0.4203386113914961,0.227,0.42015968063872167,0.8812914463598482,0.5402707838479821,0.45825774337365466,0.47644516998286385,1.0396882035758193,1,3,1
5210,10255137,15083,0.778,0.7665702718334297,0.6966666666666668,0.0,0.4266528925619835,0.43310648338727925,0.222,0.42015968063872167,0.8812914463598482,0.528370546318291,0.45825774337365466,0.47116875957558985,1.0281741364736914,1,3,1
5211,10255138,15083,0.773,0.761130856346133,0.6902380952380952,0.0,0.41313340227507767,0.42033861139149614,0.227,0.42015968063872167,0.8812914463598482,0.5402707838479821,0.45825774337365466,0.47644516998286385,1.0396882035758193,1,3,1
5212,10255144,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5213,10255153,15083,0.774,0.762000877577885,0.690952380952381,0.0,0.41511387163561075,0.42289218579065263,0.226,0.42015968063872167,0.8812914463598482,0.5378907363420439,0.45825774337365466,0.4753945729601885,1.0373956137879394,1,3,1
5214,10255159,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5215,10255165,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
5216,10255172,15083,0.769,0.7576559354961788,0.6873809523809524,0.0,0.40525231719876414,0.41012431379486974,0.231,0.42015968063872167,0.8812914463598482,0.5497909738717351,0.45825774337365466,0.48062459362791665,1.0488084502175548,1,3,1
5217,10255180,15083,0.7559999999999999,0.7464138449039656,0.6780952380952381,0.0,0.38008130081300806,0.3769278466058353,0.244,0.42015968063872167,0.8812914463598482,0.5807315914489323,0.45825774337365466,0.4939635614091388,1.077916453244458,1,3,1
5218,10255187,15083,0.773,0.7600159815161148,0.6873809523809524,0.0,0.40946930280957333,0.42033861139149614,0.227,0.42015968063872167,0.8812914463598482,0.5402707838479821,0.45825774337365466,0.47644516998286385,1.0396882035758193,1,3,1
5219,10255191,15083,0.772,0.7602613602613603,0.6895238095238095,0.0,0.41115702479338845,0.41778503699233943,0.228,0.42015968063872167,0.8812914463598482,0.5426508313539204,0.45825774337365466,0.4774934554525329,1.0419757491434112,1,3,1
5220,10255199,15083,0.757,0.7472760966401546,0.6788095238095239,0.0,0.3819938962360122,0.3794814210049917,0.243,0.42015968063872167,0.8812914463598482,0.578351543942994,0.45825774337365466,0.4929503017546495,1.0757053402427883,1,3,1
